Maristella_BZ_SVU,1,1
Maristella_BZ_VAD,1,1
Maristella_RO_DU,1,1
Maristella_RO_RD,1,1
Photeros_mcelroyi,1,1
Alternochelata_lizardensis,0,0
Photeros_RO_GPH,1,1
Maristella_JA_LSZZ,1,1
Maristella_JA_OBD,1,1
Maristella_JA_SVD,1,1
Maristella_JA_VAD,1,1
Maristella_chicoi,1,1
Paravargula_sp2,0,0
Photeros_morini,1,1
Kornickeria_RO_CMU,1,1
Maristella_RO_ODH,1,1
Maristella_BZ_SVD,1,1
Vargula_hilgendorfii2,1,0
Chelicopia_lorica,0,0
Cylindroleberidinae,0,0
Darwinula_stevensoni,0,0
Photeros_PA_EGD,1,1
Euphilomedes_sp,0,0
Paradoloria_sp,0,0
Gigantocypris_sp,0,0
Skogsbergia_sp2,0,0
Photeros_annecohenae,1,1
Harbansus_slatteryi,0,0
Maristella_JA_AU,1,1
Maristella_JA_WLU,1,1
Maristella_JA_WTF,1,1
Melavargula_japonica,0,0
Kornickeria_hastingsii_carriebowae,1,1
Vargula_sp,1,0
Cypridina_sp,1,0
Paravargula_sp,0,0
Photeros_PA_NOL,1,1
PA_MFU,1,1
Skogsbergia_sp,0,0
Maristella_RO_AG,1,1
Photeros_RO_WLU,1,1
Maristella_RO_IR,1,1
Photeros_PA_SFM,1,1
Vargula_hilgendorfii,1,0
Vargula_tsujii,1,1
Pterocypridina_spLIRS,0,0
Kornickeria_CU_SDF,1,1
Cypridinodes_sp,0,0